Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
radiant-glow-facial-serum,Radiant Glow Facial Serum,"<p>Thoughtfully sourced and quality-checked, this piece is designed for everyday luxury. Delivered across the UAE with care.</p>",Claventory,,Beauty,"Beauty, Best Selling",TRUE,Title,Default Title,,,,,CLV-BEA-001,500,shopify,50,deny,manual,108,,TRUE,TRUE,,https://claventory.myshopify.com/cdn/shop/t/4/assets/product-box-neutral.png,1,Radiant Glow Facial Serum,FALSE,Radiant Glow Facial Serum | Claventory,"Thoughtfully sourced and quality-checked, this piece is designed for everyday luxury. Delivered across the UAE with care.",,g,,65,active
velvet-matte-lipstick-set,Velvet Matte Lipstick Set,"<p>Thoughtfully sourced and quality-checked, this piece is designed for everyday luxury. Delivered across the UAE with care.</p>",Claventory,,Beauty,Beauty,TRUE,Title,Default Title,,,,,CLV-BEA-002,500,shopify,50,deny,manual,82,97,TRUE,TRUE,,https://claventory.myshopify.com/cdn/shop/t/4/assets/product-box-neutral.png,1,Velvet Matte Lipstick Set,FALSE,Velvet Matte Lipstick Set | Claventory,"Thoughtfully sourced and quality-checked, this piece is designed for everyday luxury. Delivered across the UAE with care.",,g,,45,active
luminous-silk-foundation,Luminous Silk Foundation,"<p>Thoughtfully sourced and quality-checked, this piece is designed for everyday luxury. Delivered across the UAE with care.</p>",Claventory,,Beauty,"Beauty, Best Selling",TRUE,Title,Default Title,,,,,CLV-BEA-003,500,shopify,50,deny,manual,114,,TRUE,TRUE,,https://claventory.myshopify.com/cdn/shop/t/4/assets/product-box-neutral.png,1,Luminous Silk Foundation,FALSE,Luminous Silk Foundation | Claventory,"Thoughtfully sourced and quality-checked, this piece is designed for everyday luxury. Delivered across the UAE with care.",,g,,70,active
rose-gold-highlighter-palette,Rose Gold Highlighter Palette,"<p>Thoughtfully sourced and quality-checked, this piece is designed for everyday luxury. Delivered across the UAE with care.</p>",Claventory,,Beauty,Beauty,TRUE,Title,Default Title,,,,,CLV-BEA-004,500,shopify,50,deny,manual,95,,TRUE,TRUE,,https://claventory.myshopify.com/cdn/shop/t/4/assets/product-box-neutral.png,1,Rose Gold Highlighter Palette,FALSE,Rose Gold Highlighter Palette | Claventory,"Thoughtfully sourced and quality-checked, this piece is designed for everyday luxury. Delivered across the UAE with care.",,g,,55,active
hydrating-rose-water-mist,Hydrating Rose Water Mist,"<p>Thoughtfully sourced and quality-checked, this piece is designed for everyday luxury. Delivered across the UAE with care.</p>",Claventory,,Beauty,Beauty,TRUE,Title,Default Title,,,,,CLV-BEA-005,500,shopify,50,deny,manual,69,81,TRUE,TRUE,,https://claventory.myshopify.com/cdn/shop/t/4/assets/product-box-neutral.png,1,Hydrating Rose Water Mist,FALSE,Hydrating Rose Water Mist | Claventory,"Thoughtfully sourced and quality-checked, this piece is designed for everyday luxury. Delivered across the UAE with care.",,g,,35,active
argan-oil-hair-repair-treatment,Argan Oil Hair Repair Treatment,"<p>Thoughtfully sourced and quality-checked, this piece is designed for everyday luxury. Delivered across the UAE with care.</p>",Claventory,,Beauty,Beauty,TRUE,Title,Default Title,,,,,CLV-BEA-006,500,shopify,50,deny,manual,88,,TRUE,TRUE,,https://claventory.myshopify.com/cdn/shop/t/4/assets/product-box-neutral.png,1,Argan Oil Hair Repair Treatment,FALSE,Argan Oil Hair Repair Treatment | Claventory,"Thoughtfully sourced and quality-checked, this piece is designed for everyday luxury. Delivered across the UAE with care.",,g,,50,active
charcoal-detox-face-mask-set,Charcoal Detox Face Mask Set,"<p>Thoughtfully sourced and quality-checked, this piece is designed for everyday luxury. Delivered across the UAE with care.</p>",Claventory,,Beauty,Beauty,TRUE,Title,Default Title,,,,,CLV-BEA-007,500,shopify,50,deny,manual,75,,TRUE,TRUE,,https://claventory.myshopify.com/cdn/shop/t/4/assets/product-box-neutral.png,1,Charcoal Detox Face Mask Set,FALSE,Charcoal Detox Face Mask Set | Claventory,"Thoughtfully sourced and quality-checked, this piece is designed for everyday luxury. Delivered across the UAE with care.",,g,,40,active
signature-fragrance-discovery-set,Signature Fragrance Discovery Set,"<p>Thoughtfully sourced and quality-checked, this piece is designed for everyday luxury. Delivered across the UAE with care.</p>",Claventory,,Beauty,"Beauty, Best Selling",TRUE,Title,Default Title,,,,,CLV-BEA-008,500,shopify,50,deny,manual,134,158,TRUE,TRUE,,https://claventory.myshopify.com/cdn/shop/t/4/assets/product-box-neutral.png,1,Signature Fragrance Discovery Set,FALSE,Signature Fragrance Discovery Set | Claventory,"Thoughtfully sourced and quality-checked, this piece is designed for everyday luxury. Delivered across the UAE with care.",,g,,85,active
leather-card-wallet,Leather Card Wallet,"<p>Thoughtfully sourced and quality-checked, this piece is designed for everyday luxury. Delivered across the UAE with care.</p>",Claventory,,Accessories,"Accessories, Best Selling",TRUE,Title,Default Title,,,,,CLV-ACC-001,500,shopify,50,deny,manual,99,,TRUE,TRUE,,https://claventory.myshopify.com/cdn/shop/t/4/assets/product-box-neutral.png,1,Leather Card Wallet,FALSE,Leather Card Wallet | Claventory,"Thoughtfully sourced and quality-checked, this piece is designed for everyday luxury. Delivered across the UAE with care.",,g,,58,active
classic-chronograph-watch,Classic Chronograph Watch,"<p>Thoughtfully sourced and quality-checked, this piece is designed for everyday luxury. Delivered across the UAE with care.</p>",Claventory,,Accessories,"Accessories, Best Selling",TRUE,Title,Default Title,,,,,CLV-ACC-002,500,shopify,50,deny,manual,238,281,TRUE,TRUE,,https://claventory.myshopify.com/cdn/shop/t/4/assets/product-box-neutral.png,1,Classic Chronograph Watch,FALSE,Classic Chronograph Watch | Claventory,"Thoughtfully sourced and quality-checked, this piece is designed for everyday luxury. Delivered across the UAE with care.",,g,,165,active
silk-twill-scarf,Silk Twill Scarf,"<p>Thoughtfully sourced and quality-checked, this piece is designed for everyday luxury. Delivered across the UAE with care.</p>",Claventory,,Accessories,Accessories,TRUE,Title,Default Title,,,,,CLV-ACC-003,500,shopify,50,deny,manual,112,,TRUE,TRUE,,https://claventory.myshopify.com/cdn/shop/t/4/assets/product-box-neutral.png,1,Silk Twill Scarf,FALSE,Silk Twill Scarf | Claventory,"Thoughtfully sourced and quality-checked, this piece is designed for everyday luxury. Delivered across the UAE with care.",,g,,68,active
gold-plated-hoop-earrings,Gold-Plated Hoop Earrings,"<p>Thoughtfully sourced and quality-checked, this piece is designed for everyday luxury. Delivered across the UAE with care.</p>",Claventory,,Accessories,Accessories,TRUE,Title,Default Title,,,,,CLV-ACC-004,500,shopify,50,deny,manual,86,101,TRUE,TRUE,,https://claventory.myshopify.com/cdn/shop/t/4/assets/product-box-neutral.png,1,Gold-Plated Hoop Earrings,FALSE,Gold-Plated Hoop Earrings | Claventory,"Thoughtfully sourced and quality-checked, this piece is designed for everyday luxury. Delivered across the UAE with care.",,g,,48,active
structured-crossbody-bag,Structured Crossbody Bag,"<p>Thoughtfully sourced and quality-checked, this piece is designed for everyday luxury. Delivered across the UAE with care.</p>",Claventory,,Accessories,"Accessories, Best Selling",TRUE,Title,Default Title,,,,,CLV-ACC-005,500,shopify,50,deny,manual,179,,TRUE,TRUE,,https://claventory.myshopify.com/cdn/shop/t/4/assets/product-box-neutral.png,1,Structured Crossbody Bag,FALSE,Structured Crossbody Bag | Claventory,"Thoughtfully sourced and quality-checked, this piece is designed for everyday luxury. Delivered across the UAE with care.",,g,,120,active
aviator-sunglasses,Aviator Sunglasses,"<p>Thoughtfully sourced and quality-checked, this piece is designed for everyday luxury. Delivered across the UAE with care.</p>",Claventory,,Accessories,Accessories,TRUE,Title,Default Title,,,,,CLV-ACC-006,500,shopify,50,deny,manual,121,,TRUE,TRUE,,https://claventory.myshopify.com/cdn/shop/t/4/assets/product-box-neutral.png,1,Aviator Sunglasses,FALSE,Aviator Sunglasses | Claventory,"Thoughtfully sourced and quality-checked, this piece is designed for everyday luxury. Delivered across the UAE with care.",,g,,75,active
leather-passport-holder,Leather Passport Holder,"<p>Thoughtfully sourced and quality-checked, this piece is designed for everyday luxury. Delivered across the UAE with care.</p>",Claventory,,Accessories,Accessories,TRUE,Title,Default Title,,,,,CLV-ACC-007,500,shopify,50,deny,manual,91,107,TRUE,TRUE,,https://claventory.myshopify.com/cdn/shop/t/4/assets/product-box-neutral.png,1,Leather Passport Holder,FALSE,Leather Passport Holder | Claventory,"Thoughtfully sourced and quality-checked, this piece is designed for everyday luxury. Delivered across the UAE with care.",,g,,52,active
beaded-statement-necklace,Beaded Statement Necklace,"<p>Thoughtfully sourced and quality-checked, this piece is designed for everyday luxury. Delivered across the UAE with care.</p>",Claventory,,Accessories,Accessories,TRUE,Title,Default Title,,,,,CLV-ACC-008,500,shopify,50,deny,manual,101,,TRUE,TRUE,,https://claventory.myshopify.com/cdn/shop/t/4/assets/product-box-neutral.png,1,Beaded Statement Necklace,FALSE,Beaded Statement Necklace | Claventory,"Thoughtfully sourced and quality-checked, this piece is designed for everyday luxury. Delivered across the UAE with care.",,g,,60,active
